"y1","y2","rnaseq_profile_id","sampling_region","sources","kmean_1","kmean_2","kmean_3","kmean_4","kmean_5","kmean_6","kmean_7","kmean_8","kmean_9","kmean_10","kmean_11","kmean_12","kmean_13","kmean_14","kmean_15","kmean_16","kmean_17","kmean_18","kmean_19","kmean_20","louvain_k30"
-1.02811545939839,-32.0019897479794,487201685,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,7,9,11,12,11,5,1,2,15,16,5,1
-0.145260166355025,-32.1400515334267,487201687,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-11.5747060307144,-7.63950980776712,487201689,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,11,2,10,3,2,17,15,16,8,19
-0.185726795328289,-31.6559949103242,487201691,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,7,9,11,12,11,5,1,2,15,16,5,1
-0.316128715060627,-31.5167078566191,487201693,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,7,9,11,12,11,5,14,3,15,16,5,1
-1.0475633348059,-30.3623575356101,487201695,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,7,9,11,12,11,5,11,16,15,16,5,1
-0.223473884991774,-31.354272632749,487201697,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-14.7343998936592,-9.03277371898491,487201699,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,8,6,7,9,11,2,10,3,11,16,15,16,8,19
-0.441893977159032,-31.7360133624248,487201701,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-0.280678463251808,-31.3919050254767,487201703,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-13.0465891291317,-2.42589715627308,487201705,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,16,14,18,19
2.21288617110695,-28.2756686075715,487201707,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,8,6,7,9,11,12,11,5,14,3,15,16,5,1
-0.178886510109959,-31.4426877184792,487201709,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-10.8240487150619,-10.6659433758602,487201711,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,14,8,11,16,15,16,5,1
-0.0375672945369752,-31.4858732270601,487201713,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-14.1938036697725,-7.64275699555647,487201715,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,15,16,8,19
-11.8812302915459,-1.3454341415154,487201717,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,9,8,2,10,13,2,4,8,16,14,18,19
-9.86339295522139,-5.23269150696223,487201719,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,16,14,8,19
0.118839540499414,-30.907369753218,487201721,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-0.296339841189082,-31.4797927172561,487201723,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-14.414137649002,-10.6452304484061,487201725,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,13,6,15,11,16,4,7,6,8
-13.8527842443491,-8.76296378470975,487201727,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,11,2,14,8,14,3,15,16,8,19
-13.4883789241631,-10.5402706190251,487201729,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,16,14,8,19
0.531664309638472,-31.9753120875255,487201731,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,13,6,15,11,16,4,7,5,1
-11.9714771044152,-1.58504839250605,487201733,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,16,14,8,19
0.329990493588902,-31.661528243974,487201735,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-0.595785351668011,-31.9494601119143,487201739,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-14.4004134229291,-9.21272968475132,487201741,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,2,14,8,11,16,15,16,8,19
-10.7793011658506,-10.6011340805484,487201743,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,14,8,14,3,15,16,5,1
-0.94911891070906,-31.6972270807569,487201745,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,7,9,11,12,11,5,1,2,15,16,5,1
-0.281838172942273,-31.4865640212444,487201747,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-13.5112048766826,-9.22763531414791,487201749,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,15,16,8,19
-13.1780578009431,-3.84344034303478,487201751,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,9,8,2,10,13,2,4,8,16,14,8,19
0.521760385175646,-32.025135396761,487201753,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-14.5864233116526,-8.30950094400407,487201755,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,13,6,15,11,16,15,16,8,19
-0.127758852446952,-32.2053804900117,487201757,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-13.3361825430532,-2.94923416320719,487201759,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,16,14,8,19
0.452067428738134,-31.9023824863473,487201761,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,7,9,5,12,11,5,1,2,15,16,5,1
-13.0445267804852,-4.91734888875569,487201763,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,16,14,8,19
0.499377612559232,-32.0395121634459,487201765,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
0.8177123811276,-31.646788084984,487201767,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-13.5313606127052,-4.54087214340905,487201769,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,16,14,8,19
-0.582373934924727,-31.9774883256708,487201771,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-0.354783986249396,-31.4274004306403,487201773,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,12,11,5,11,16,15,16,5,1
-18.1278932705063,-4.80456914530483,487201775,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,3,2,5,3,4,10,5,13,6,15,11,16,15,16,8,19
-13.44471238082,-4.28740374009682,487201777,"Mouse VISp - L4, L5, L6","VIS",1,2,3,2,2,1,7,8,6,7,9,2,10,13,2,4,8,15,16,8,19
